#Example
XP_015440587.1  NP_036312.2     1.228E-215      97.900
XP_015440707.1  XP_016864680.1  0.000E+00       83.400
XP_015449502.1  NP_001290176.1  7.572E-208      98.700
XP_015449615.1  NP_064448.1     2.110E-192      87.300
XP_006908262.1  NP_064703.1     1.253E-317      88.300
XP_006908666.1  NP_006244.2     3.261E-177      95.900
XP_006908716.1  NP_055909.2     0.000E+00       91.700
XP_024901272.1  XP_024304666.1  0.000E+00       79.900
XP_024901382.1  NP_006169.2     0.000E+00       92.000
XP_006919638.1  NP_060607.2     3.711E-225      88.200
